"RuleName","Severity","Kind","TablesUsed","TableCount"
"Log4j vulnerability exploit aka Log4Shell IP IOC","High","Scheduled","AzureActivity, AzureDiagnostics, DeviceNetworkEvents, Event, OfficeActivity, Operation, SigninLogs","7"
"User Accounts - Sign in Failure due to CA Spikes","Medium","Scheduled","Anomalies, BehaviorAnalytics, IdentityInfo, SigninLogs","4"
"Possible Phishing with CSL and Network Sessions","Medium","Scheduled","AlertEvidence, DeviceEvents, EmailEvents, IdentityInfo","4"
"Dataverse - Guest user exfiltration following Power Platform defense impairment","High","Scheduled","AuditLogs, PowerPlatformAdminActivity, SecurityAlert, Update","4"
"User Accounts - Sign in Failure due to CA Spikes","Medium","Scheduled","Anomalies, BehaviorAnalytics, IdentityInfo, SigninLogs","4"
"Insider Risk_High User Security Alert Correlations","Medium","Scheduled","SecurityAlert, SecurityIncident, Watchlist","3"
"Execution of software vulnerable to webp buffer overflow of CVE-2023-4863","Informational","Scheduled","DeviceEvents, DeviceNetworkEvents, DeviceProcessEvents","3"
"GreyNoise TI map IP entity to OfficeActivity","Medium","Scheduled","Event, OfficeActivity, Operation","3"
"Successful logon from IP and failure from a different IP","Medium","Scheduled","BehaviorAnalytics, IdentityInfo, SigninLogs","3"
"Exchange workflow MailItemsAccessed operation anomaly","Medium","Scheduled","Anomalies, OfficeActivity, Operation","3"
"MFA Rejected by User","Medium","Scheduled","BehaviorAnalytics, IdentityInfo, SigninLogs","3"
"MFA Rejected by User","Medium","Scheduled","BehaviorAnalytics, IdentityInfo, SigninLogs","3"
"Potential Ransomware activity related to Cobalt Strike","High","Scheduled","AlertEvidence, AlertInfo, Event","3"
"Insider Risk_High User Security Incidents Correlation","High","Scheduled","SecurityAlert, SecurityIncident, Watchlist","3"
"Privileged Accounts - Sign in Failure Spikes","High","Scheduled","Anomalies, IdentityInfo, SigninLogs","3"
"SAP - (Preview) Dynamic Anomaly based Audit Log Monitor Alerts","High","Scheduled","Anomalies, Event, Watchlist","3"
"Privileged Accounts - Sign in Failure Spikes","High","Scheduled","Anomalies, IdentityInfo, SigninLogs","3"
"TI map IP entity to OfficeActivity","Medium","Scheduled","Event, OfficeActivity, Operation","3"
"Excessive Windows Logon Failures","Low","Scheduled","Event, Operation, SecurityEvent","3"
"Authentication Methods Changed for Privileged Account","High","Scheduled","AuditLogs, IdentityInfo","2"
