"DisplayName","Severity","Kind","Tactics","LastModified"
"Failed login attempts to Azure Portal","Low","Scheduled","CredentialAccess","4/20/2025 6:23:35 AM"
"Privileged Accounts - Sign in Failure Spikes","High","Scheduled","InitialAccess","12/5/2023 6:48:32 PM"
"User Accounts - Sign in Failure due to CA Spikes","Medium","Scheduled","InitialAccess","12/5/2023 6:48:32 PM"
"Azure Portal sign in from another Azure Tenant","Medium","Scheduled","InitialAccess","12/6/2023 6:01:32 AM"
"Suspicious Sign In Followed by MFA Modification","Medium","Scheduled","InitialAccess, DefenseEvasion","12/6/2023 6:03:32 AM"
"Attempts to sign in to disabled accounts","Medium","Scheduled","InitialAccess","4/18/2025 3:38:18 PM"
"Azure Active Directory PowerShell accessing non-AAD resources","Low","Scheduled","InitialAccess","12/6/2023 7:16:38 PM"
"Account created or deleted by non-approved user","Medium","Scheduled","InitialAccess","12/6/2023 7:17:36 PM"
"Bulk Changes to Privileged Account Permissions","High","Scheduled","PrivilegeEscalation","12/6/2023 7:19:29 PM"
"Password spray attack against ADFSSignInLogs","Medium","Scheduled","CredentialAccess","12/6/2023 7:20:53 PM"
"Brute Force Attack against GitHub Account","Medium","Scheduled","CredentialAccess","12/6/2023 7:23:42 PM"
"MFA Rejected by User","Medium","Scheduled","InitialAccess","12/6/2023 7:24:40 PM"
"New access credential added to Application or Service Principal","Medium","Scheduled","DefenseEvasion","4/18/2025 3:49:31 PM"
"Brute force attack against a Cloud PC","Medium","Scheduled","CredentialAccess","12/6/2023 7:26:27 PM"
"Suspicious AAD Joined Device Update","Medium","Scheduled","CredentialAccess","12/6/2023 7:28:20 PM"
"Multiple users email forwarded to same destination","Medium","Scheduled","Collection, Exfiltration","4/19/2025 7:07:24 AM"
"Malicious Inbox Rule","Medium","Scheduled","Persistence, DefenseEvasion","4/19/2025 7:05:54 AM"
"AV detections related to Tarrask malware","High","Scheduled","Persistence","4/20/2025 8:31:04 AM"
"Possible Phishing with CSL and Network Sessions","Medium","Scheduled","InitialAccess, CommandAndControl","4/20/2025 8:23:14 AM"
"AV detections related to SpringShell Vulnerability","High","Scheduled","InitialAccess","4/20/2025 8:30:05 AM"
"Sign-ins from IPs that attempt sign-ins to disabled accounts","Medium","Scheduled","InitialAccess, Persistence","12/6/2023 7:41:59 PM"
"Correlate Unfamiliar sign-in properties & atypical travel alerts","High","Scheduled","InitialAccess","4/18/2025 3:45:43 PM"
"Anomalous sign-in location by user account and authenticating application","Medium","Scheduled","InitialAccess","12/6/2023 7:43:39 PM"
"Fortinet - Accessing Remote Applications where device action is not blocked","High","Scheduled","CommandAndControl","7/31/2024 10:44:30 AM"
"Fortigate Possible Remote Code Execution Vulnerability in FortiOS SSL VPN_Custom","High","Scheduled","InitialAccess","7/31/2024 10:39:48 AM"
"Fortigate potential SQL Injection attack detected_Custom","Medium","Scheduled","Reconnaissance, InitialAccess","5/8/2025 8:24:50 AM"
"(Preview) Microsoft Defender Threat Intelligence Analytics","Medium","ThreatIntelligence","Persistence, LateralMovement","8/21/2024 1:07:58 PM"
"(Preview) Anomalous SSH Login Detection","Medium","MLBehaviorAnalytics","InitialAccess","8/21/2024 1:09:05 PM"
